1707511038655: {'POSITION(0x001)': 0.5053558349609375, 'VELOCITY(0x002)': -0.003325279802083969, 'TORQUE(0x003)': 0.0, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038678: {'POSITION(0x001)': 0.5055084228515625, 'VELOCITY(0x002)': 0.017614154145121574, 'TORQUE(0x003)': 0.0017796946922317147, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038701: {'POSITION(0x001)': 0.5068817138671875, 'VELOCITY(0x002)': 0.09517381340265274, 'TORQUE(0x003)': 0.03248642757534981, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038723: {'POSITION(0x001)': 0.5101776123046875, 'VELOCITY(0x002)': 0.20789657533168793, 'TORQUE(0x003)': 0.059432096779346466, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038746: {'POSITION(0x001)': 0.5215606689453125, 'VELOCITY(0x002)': 0.6679267287254333, 'TORQUE(0x003)': 0.040510665625333786, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038769: {'POSITION(0x001)': 0.5410919189453125, 'VELOCITY(0x002)': 0.9698000550270081, 'TORQUE(0x003)': 0.021125653758645058, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038792: {'POSITION(0x001)': 0.56707763671875, 'VELOCITY(0x002)': 1.1322163343429565, 'TORQUE(0x003)': 0.012035836465656757, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038815: {'POSITION(0x001)': 0.5921783447265625, 'VELOCITY(0x002)': 1.1011934280395508, 'TORQUE(0x003)': 0.025110408663749695, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038837: {'POSITION(0x001)': 0.617034912109375, 'VELOCITY(0x002)': 1.2257609367370605, 'TORQUE(0x003)': 0.025583606213331223, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038860: {'POSITION(0x001)': 0.653350830078125, 'VELOCITY(0x002)': 1.6976903676986694, 'TORQUE(0x003)': 0.035903338342905045, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038883: {'POSITION(0x001)': 0.6916351318359375, 'VELOCITY(0x002)': 1.6736794710159302, 'TORQUE(0x003)': 0.023458998650312424, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038906: {'POSITION(0x001)': 0.733489990234375, 'VELOCITY(0x002)': 1.8683634996414185, 'TORQUE(0x003)': 0.03232428431510925, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038928: {'POSITION(0x001)': 0.7779083251953125, 'VELOCITY(0x002)': 2.0686051845550537, 'TORQUE(0x003)': 0.030330251902341843, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038953: {'POSITION(0x001)': 0.8285064697265625, 'VELOCITY(0x002)': 2.2443220615386963, 'TORQUE(0x003)': 0.019842524081468582, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038977: {'POSITION(0x001)': 0.8911285400390625, 'VELOCITY(0x002)': 2.4666690826416016, 'TORQUE(0x003)': 0.018051957711577415, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511038999: {'POSITION(0x001)': 0.9508209228515625, 'VELOCITY(0x002)': 2.7344210147857666, 'TORQUE(0x003)': 0.03191554918885231, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039022: {'POSITION(0x001)': 1.0140838623046875, 'VELOCITY(0x002)': 2.8493354320526123, 'TORQUE(0x003)': 0.026503900066018105, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039045: {'POSITION(0x001)': 1.080108642578125, 'VELOCITY(0x002)': 2.978349208831787, 'TORQUE(0x003)': 0.04047612100839615, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039067: {'POSITION(0x001)': 1.149810791015625, 'VELOCITY(0x002)': 3.107978343963623, 'TORQUE(0x003)': 0.015171979553997517, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039090: {'POSITION(0x001)': 1.2200469970703125, 'VELOCITY(0x002)': 3.091930389404297, 'TORQUE(0x003)': 0.003344903001561761, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039113: {'POSITION(0x001)': 1.287872314453125, 'VELOCITY(0x002)': 2.9233558177948, 'TORQUE(0x003)': 0.02712799422442913, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039136: {'POSITION(0x001)': 1.3540802001953125, 'VELOCITY(0x002)': 2.918929100036621, 'TORQUE(0x003)': 0.023461762815713882, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039161: {'POSITION(0x001)': 1.4235382080078125, 'VELOCITY(0x002)': 3.085700750350952, 'TORQUE(0x003)': 0.009916367009282112, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039184: {'POSITION(0x001)': 1.502044677734375, 'VELOCITY(0x002)': 3.0144691467285156, 'TORQUE(0x003)': 0.011220462620258331, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039207: {'POSITION(0x001)': 1.568939208984375, 'VELOCITY(0x002)': 2.919895887374878, 'TORQUE(0x003)': 0.020934268832206726, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039230: {'POSITION(0x001)': 1.635833740234375, 'VELOCITY(0x002)': 2.9805450439453125, 'TORQUE(0x003)': 0.023412611335515976, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039254: {'POSITION(0x001)': 1.7086334228515625, 'VELOCITY(0x002)': 3.086238384246826, 'TORQUE(0x003)': 0.01738741807639599, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039277: {'POSITION(0x001)': 1.78143310546875, 'VELOCITY(0x002)': 2.9932475090026855, 'TORQUE(0x003)': 0.019723640754818916, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039300: {'POSITION(0x001)': 1.8487701416015625, 'VELOCITY(0x002)': 2.9332399368286133, 'TORQUE(0x003)': 0.017853491008281708, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
