#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,topic
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:10Z,0.00014000000000000001,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:11Z,-0.0216,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:12Z,-0.022010000000000002,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:13Z,0.00084,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:14Z,-0.00355,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:15Z,-6.271120000000001,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:16Z,-2.16412,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:17Z,-19.02399,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:18Z,-42.319810000000004,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:19Z,-15.408040000000002,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:20Z,-13.516660000000002,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:21Z,3.6779400000000004,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:22Z,-4.5865800000000005,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:23Z,-20.945130000000002,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:24Z,-34.31409,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:25Z,-42.323440000000005,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:26Z,-42.1146,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:27Z,-42.0591,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:28Z,-30.087400000000002,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:29Z,-37.59664,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:30Z,-42.068560000000005,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:31Z,-42.08299,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:32Z,-42.314960000000006,velocity,motor/roll,robot/motor/roll
,,0,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:33Z,-42.03229,velocity,motor/roll,robot/motor/roll
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:10Z,-0.0283203125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:11Z,-0.0263671875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:12Z,-0.02490234375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:13Z,-0.0185546875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:14Z,-0.04052734375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:15Z,-0.0458984375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:16Z,0.04345703125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:17Z,-0.0068359375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:18Z,-0.0966796875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:19Z,0.03125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:20Z,0.1669921875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:21Z,0.05224609375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:22Z,-0.171875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:23Z,-0.09130859375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:24Z,-0.037109375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:25Z,-0.03564453125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:26Z,-0.16015625,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:27Z,-0.0205078125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:28Z,-0.03662109375,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:29Z,-0.3525390625,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:30Z,-0.138671875,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:31Z,-0.86376953125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:32Z,-0.7548828125,accel_x,sensors/imu1,robot/sensors/imu1
,,1,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:33Z,-0.63037109375,accel_x,sensors/imu1,robot/sensors/imu1
,,2,2025-02-06T22:35:21.429316043Z,2025-02-06T22:40:21.429316043Z,2025-02-06T22:38:10Z,-0.0419921875,accel_y,sensors/imu1,robot/sensors/imu1
